FECHA HECHO,CANTIDAD
03/02/2017,0.07
03/02/2017,0.03
03/02/2017,0.5
03/02/2017,0.175
03/02/2017,0.05
03/02/2017,0.045
03/02/2017,0.15
03/02/2017,0.12
03/02/2017,0.305
03/02/2017,0.5
04/02/2017,0.028
04/02/2017,0.08
04/02/2017,0.5
04/02/2017,0.16
04/02/2017,0.029
04/02/2017,0.08
04/02/2017,0.25
04/02/2017,0.09
04/02/2017,0.06
04/02/2017,0.03
04/02/2017,0.06
04/02/2017,0.05
04/02/2017,0.08
04/02/2017,0.25
04/02/2017,0.08
04/02/2017,0.06
04/02/2017,0.04
05/02/2017,150.0
05/02/2017,0.063
05/02/2017,0.046
05/02/2017,0.045
05/02/2017,0.012
05/02/2017,0.2
05/02/2017,0.09
05/02/2017,0.15
05/02/2017,0.15
05/02/2017,0.087
05/02/2017,0.038
05/02/2017,0.06
05/02/2017,0.025
05/02/2017,0.025
05/02/2017,0.1
05/02/2017,0.06
05/02/2017,0.06
06/02/2017,0.05
06/02/2017,0.078
06/02/2017,0.04
06/02/2017,0.05
06/02/2017,0.036
06/02/2017,0.465
06/02/2017,0.013
06/02/2017,0.01
06/02/2017,0.05
06/02/2017,0.1
06/02/2017,0.03
06/02/2017,0.2
06/02/2017,0.03
06/02/2017,0.1
06/02/2017,0.15
06/02/2017,0.03
06/02/2017,0.725
06/02/2017,0.1
06/02/2017,15.0
06/02/2017,0.06
06/02/2017,0.035
07/02/2017,0.06
07/02/2017,0.1
07/02/2017,0.1
07/02/2017,0.048
07/02/2017,0.08
07/02/2017,5.0
07/02/2017,0.5
07/02/2017,0.035
07/02/2017,33.0
07/02/2017,0.2
07/02/2017,1.591
08/02/2017,0.07
08/02/2017,0.02
08/02/2017,0.06
08/02/2017,0.055
08/02/2017,0.075
08/02/2017,0.2
08/02/2017,0.05
08/02/2017,0.03
08/02/2017,0.04
08/02/2017,0.555
09/02/2017,0.07
09/02/2017,0.035
09/02/2017,0.032
09/02/2017,0.3
09/02/2017,0.023
09/02/2017,0.03
09/02/2017,0.028
09/02/2017,0.042
09/02/2017,0.05
09/02/2017,0.09
09/02/2017,0.03
09/02/2017,0.1
09/02/2017,0.065
10/02/2017,0.11
10/02/2017,3.0
10/02/2017,0.08
10/02/2017,0.3
10/02/2017,0.13
10/02/2017,200.0
10/02/2017,0.106
10/02/2017,0.71
10/02/2017,0.04
10/02/2017,0.12
10/02/2017,0.063
10/02/2017,0.15
10/02/2017,0.2
10/02/2017,0.12
10/02/2017,0.04
10/02/2017,0.03
10/02/2017,0.125
10/02/2017,0.075
11/02/2017,0.06
11/02/2017,0.032
11/02/2017,0.071
11/02/2017,0.05
11/02/2017,0.65
11/02/2017,0.02
11/02/2017,0.015
11/02/2017,0.165
11/02/2017,0.03
11/02/2017,0.1
11/02/2017,0.1
11/02/2017,0.08
11/02/2017,0.073
11/02/2017,0.07
11/02/2017,0.055
11/02/2017,0.05
11/02/2017,0.2
11/02/2017,0.09
12/02/2017,0.035
12/02/2017,0.055
12/02/2017,0.042
12/02/2017,0.12
12/02/2017,0.06
12/02/2017,0.07
12/02/2017,0.02
12/02/2017,0.4
12/02/2017,0.3
12/02/2017,0.04
12/02/2017,0.2
13/02/2017,0.05
13/02/2017,0.05
13/02/2017,0.034
13/02/2017,0.09
13/02/2017,0.05
13/02/2017,0.035
13/02/2017,0.285
13/02/2017,0.19
13/02/2017,0.038
13/02/2017,0.315
13/02/2017,0.046
13/02/2017,1.0
13/02/2017,1.0
13/02/2017,0.15
13/02/2017,0.1
14/02/2017,0.12
14/02/2017,0.082
14/02/2017,0.3
14/02/2017,0.036
14/02/2017,0.032
14/02/2017,0.05
14/02/2017,0.19
14/02/2017,0.1
14/02/2017,0.04
14/02/2017,0.046
14/02/2017,0.023
14/02/2017,0.05
